,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,10.NGC2541,4,30.352270541189704,0.03058443863035158,0.052707787014721875,0.06259705494326118,0.04766418089078428,0.04643075528612073,0.030480513288512135,0.10416437628169353
1,11.NGC3198,5,30.71059259259259,0.03265986323710904,0.04996241507598214,0.04491261870374458,0.04701099511414597,0.044720606617449477,0.0324526906921668,0.13556506388862577
2,12.NGC3319,4,30.588638721778334,0.04423620004417249,0.05992075302443054,0.06978013842852718,0.0744115032953232,0.07057470775815133,0.04434599531361889,0.1033061629030732
3,15.NGC4258,20,29.345303355369737,0.003885403562990745,0.030319905743861172,0.0029602396979785534,0.00942478208262898,0.01058103671983801,0.0038853277999218675,0.01435085888979388
4,17.NGC6822,12,23.377343971965665,0.009496014705862395,0.024593521769885704,0.024613064413555128,0.024776766265230066,0.024743814232859762,0.00947495766574553,0.036374790698027314
5,21.M96,3,30.147780005227876,0.046396560191472605,0.056053798730654594,0.052169802727735956,0.05180983111828397,0.036203028654583136,0.046007785254942625,0.08578725629573963
6,22.NGC3370,18,32.203096577510856,0.008808519952006216,0.024912213815030983,0.02585835642477878,0.024953967294663926,0.025077191767827856,0.008744451238127001,0.05941001486540787
7,23.M66,5,30.235242572478775,0.04077044103670822,0.08452435098698037,0.0927741582946625,0.08506556858806391,0.08325617323648515,0.04056542949167746,0.2039979392897681
8,24.NGC4414,5,31.261012872037522,0.02661555299092974,0.024618351945895824,0.015861675062165383,0.01775157472484068,0.015367002048858325,0.02646600010359237,0.03831715511428378
9,25.NGC4496,6,30.928904936018387,0.018197992188185966,0.050125200507197896,0.04988866724763274,0.048262473465523925,0.04781687678399038,0.018283069979181082,0.15597775240581627
10,26.NGC4535,4,31.098168905147375,0.024084612836390833,0.06248830870479111,0.07411620150328509,0.07798808993681661,0.07047976342598972,0.02393554627654948,0.18333501795523086
11,27.NGC4536,23,30.84595730808732,0.01054831758865194,0.01566713505229088,0.015756812981576877,0.015506786430151465,0.01554372220239486,0.010543171626601757,0.04098338451196385
12,28.NGC4725,4,30.525232814670716,0.031498746737323495,0.03997068023148506,0.046937013979134155,0.046745451852910236,0.04361727508655022,0.03149065310030875,0.06477175071977616
13,3.M33,8,24.621873108266843,0.008815051663524054,0.00780806992662813,0.0005738772927475394,0.0006267819699345978,0.0016010547697966615,0.008888130422771616,0.0017203483428097624
14,32.NGC5584,5,31.752718959063156,0.02155556745832627,0.01545506759725098,0.017700450060084732,0.01582553944908227,0.0179262295863154,0.021509086946981993,0.012102178636663397
15,33.NGC7331,4,30.83887120762801,0.04348457146376455,0.012634876561371952,0.013857420451032589,0.013445448190765319,0.014660525902133514,0.04331576093683128,0.005134867016043551
16,4.M81,6,27.835396696004512,0.03743977208376812,0.018895882440801988,0.021143719380280594,0.02114423219044781,0.020580644374735613,0.037137048789579886,0.009587799758511987
17,5.M101,14,29.144122662854574,0.005671194654259935,0.015032354797846944,0.014488228876078667,0.01483622194137979,0.015895554206451834,0.005662693954129,0.02047322434812453
18,7.NGC0925,5,29.79532743362832,0.022577300841206332,0.024339894369082463,0.0248786408972479,0.025541659182799492,0.0235255249064501,0.022543369775252082,0.029699019391138847
19,9.NGC2403,2,27.506153846153843,0.08320502943378437,0.04034200304387676,0.04686390532545084,0.0655357999999957,0.04446420000000373,0.08279700457158484,0.030825962544518002
